Frequency,Amplitude
0.9782608695649999,-12.84657288
2.934782608696,-22.55067444
5.0,-27.14009476
6.956521739129999,-30.25602722
8.913043478260999,-32.73073959
10.978260869565,-34.86124039
12.934782608696,-36.83700943
15.0,-38.74108124
16.95652173913,-40.6708107
18.913043478261002,-42.63702393
20.978260869565,-44.70291901
22.934782608696,-46.8296814
25.0,-49.04697037
26.95652173913,-51.32144165
28.913043478261002,-53.78659058
30.978260869565,-56.56246185
32.934782608696,-59.81771088
35.0,-63.54853058
36.95652173913,-67.68768311
38.913043478261,-72.07862091
40.978260869565005,-76.81336975
42.934782608696,-81.43345642
45.0,-85.80337524
46.95652173913,-90.30324554
48.913043478261,-95.39852905
